text,label,prediction
يتناول البحث موضوع التنازل عن الأوعية العقارية كتحفيز لتحقيق البرامج السكنية المدعمة في الجزائر. يركز على أهمية تدخل الدولة لتوفير المساحات العقارية المناسبة لاحتواء هذه المشاريع، خصوصاً في المناطق القريبة من المدن الكبيرة، حيث يتزايد الطلب على الإسكان المدعوم. يسلط الضوء على الاستراتيجية التي تبناها المشرع الجزائري من خلال سن قوانين تسمح للدولة بالتنازل عن الأوعية العقارية مقابل مبالغ مالية رمزية كمحفز لجذب المطورين العقاريين. تهدف هذه القوانين إلى تشجيع المطورين على الاستثمار في مشاريع الإسكان المدعوم دون تغيير وجهة استخدام الأراضي، مع توفير الضمانات والشروط اللازمة لتحقيق استدامة ونجاح هذه المشاريع على أرض الواقع. تتضمن الدراسة استعراضاً لتجارب وتحديات تطبيق هذه الاستراتيجية في الظرف الراهن.,1,1
تهدف هذه الدراسة إلى استكشاف العلاقة بين الذاكرة والتناص في الأدب. لتحقيق هذا الهدف، سيتم استخدام منهجيات متعددة تشمل التحليل النقدي للنصوص الأدبية وتحليل الأنماط اللغوية المستخدمة. من المتوقع أن تسلط النتائج الضوء على كيفية تأثير التناص على تشكيل الذاكرة الأدبية وكيف يمكن للذاكرة بدورها أن تؤثر على التناص. هذه الدراسة تساهم في فهم أعمق للتفاعل بين النصوص الأدبية وتأثيرها على القارئ.,1,1
"يُشكّل الإيقاع الرّوائي إطاراً نظرياً جديداً في تحليل البنية الرّوائية، يرمي إلى الكشف عن الفنّية التي تتشكل بها النصوص السردية، وعن أبعادها الفكرية، من خلال دراسة حركة وتغير وتعاقب وتكرار العناصر السردية. تُقدم هذه الدراسة تحليلاً تطبيقياً لرواية ""الولي الطاهر يعود إلى مقامه الزكي""، كونها نصاً رمزياً عجائبياً، حافلاً بالمتناصات، مما أدّى إلى تنويع أحداثها وشخصياتها، وتأثير ذلك على تشكل الإيقاع فيها. تسلط الدراسة الضوء على آليات تشكل الإيقاع وجمالياته في الرواية، وتحلل كيفية تأثير المتناصات على بنية الرواية الإيقاعية.",1,1
تهدف هذه الدراسة إلى تحديد الحدود الفاصلة بين أحكام الصفقات العمومية وتفويضات المرفق العام. لتحقيق هذا الهدف، سيتم استخدام منهج علمي يعتمد على تحليل النصوص القانونية والتشريعات ذات الصلة. من المتوقع أن تسلط الدراسة الضوء على الفروق الجوهرية بين هذين المفهومين وتأثيرهما على تنظيم وإدارة المرافق العامة. النتائج المتوقعة تشمل توضيحاً واضحاً للحدود الفاصلة بين أحكام الصفقات العمومية وتفويضات المرفق العام، مما يساعد في تحسين فهم وتطبيق هذه المفاهيم في مجال القانون الإداري.,1,1
تهدف هذه الدراسة إلى استكشاف دور استراتيجيات التمكين الإداري في قيادة التغيير التنظيمي، مع التركيز على كيفية تأثير هذه الاستراتيجيات على تحقيق التحول الفعال داخل المنظمات. تم تبني منهجية بحثية وصفية تحليلية، تجمع بين الاستبيانات والمقابلات مع مجموعة من المديرين والموظفين في شركات متعددة القطاع. تهدف هذه الإجراءات إلى جمع بيانات شاملة حول تطبيق استراتيجيات التمكين وكيفية تفاعل الأفراد معها أثناء عمليات التغيير. النتائج المتوقعة تشير إلى أن التمكين الإداري يسهم بشكل كبير في تحسين قبول وتكيف الأفراد مع التغييرات، من خلال تعزيز المشاركة والثقة وزيادة الكفاءة الذاتية لدى الموظفين. كما يُرجَح أن تسهم هذه الاستراتيجيات في تحسين الأداء العام للمنظمات من خلال دعم بيئة عمل أكثر ديناميكية وابتكارًا. توصي الدراسة بتكثيف جهود التدريب والتطوير في مجال التمكين لزيادة فاعلية قيادة التغيير.,1,1
تخذت الدولة كل التدابير والإجراءات للوقاية ومكافحة انتشار فيروس كورونا (كوفيد 19)، وامتدت هده الاجراءات لتشمل كل القطاعات، ومن بينها الصفقات العمومية حيت اتخذت نصا قانونيا يوضح الشروط الخاصة لإبرام الصفقات العمومية المبررة بالظرف الوبائي وتتمثل أهم الاحكام المكيفة في السماح بالشروع في تنفيذ الخدمات قبل ابرام الصفقات وجعل التراضي البسيط قاعدة ابرام الصفقات في ظل جائحة كورونا (كوفيد 19). إن ابرام الصفقة العمومية لمواجهة انتشار و الوقاية من وباء كورونا ( كوفيد 19) دون المرور على الاجراءات الشكلية، يمنح الحق للمتعامل في الحصول على المقابل المالي دون انتظار صفقة التسوية، ومع هذا تخضع الصفقة المبرمة لمواجهة انتشار وباء كوفيد 19 الى الرقابة بغرض حماية المال العمومي.,0,1
يهدف البحث إلى دراسة المقاصد التّداولية لإعلانات التّحذير من فيروس كورونا، بوصفها جزءاً من الخطاب التداولي الذي يسعى إلى التأثير في المتلقين عبر وسائل الإعلام والتواصل. تُعتبر هذه الإعلانات، التي تعتمد على مجموعة من الخصائص والآليات التداولية، أدوات تواصلية تهدف لتحقيق أغراض نقلية ذات تأثير طويل الأمد. يُركّز البحث على تحليل الأبعاد التداولية لهذه الإعلانات باستخدام نظريات مثل أفعال الكلام والاستلزام الحواري والحجاج. يتناول البحث كذلك مفاهيم إجرائية تحدد إطار تحليل هذه الإعلانات، والتي تهدف إلى كشف الكيفية التي تُساهم بها في تحقيق المقاصد التداولية المنشودة. من خلال هذا التحليل، يسعى البحث إلى تقديم إضافة علمية في مجال تحليل الخطاب والتواصل العلمي، مع إبراز الأهمية التداولية للأدوات التواصلية التي أُعدت لمواجهة وباء كورونا.,1,1
حكايات والأحاجي من الآداب الشعبية التي تنتشر في كل المجتمعات على اختلافها من البدائية إلى المتحضرة، فهي توجد أينما وجدت طفولة وأمومة آدمية ، وكلّ من تعامل مع الأطفال يعرف مكانة الحكاية في نفوسهم، ويعرف كم يسعدهم حينما يستمعون إلى الحكاية تروى أو تقرأ ، ولهذا تحتل في أدب الأطفال مكانة متميزة لا ترقى إليها ألوان الأدب الأخرى ، فهي تشكل مصدرا هاما من مصادر أدب الأطفال ، ومجالا خصبا وواسعا أصبح يتجه إليه عدد كبير من الأدباء والكتاب في العالم الغربي والعربي ليستمدوا منه موضوعات متنوعة زاخرة بمضامين وأفكار مختلفة،يقدمونها للطفل حيث يجد المتعة والتسلية والتربية..,0,0
"تهدف هذه الدراسة إلى إبراز الجوانب الفنية والجمالية لمادة التناص في شعر مفدي زكريا، وبالتحديد في قصيدة ""إلى الريفيين"" التي تعبر عن كفاح الريفيين المغاربة ضد الاستعمار الإسباني. تتناول الدراسة عنوان القصيدة من خلال قراءة سيمائية للأبعاد المعجمية والتركيبية والدلالية. كما تبرز تناص القصيدة مع القرآن الكريم على مستوى الآليات والمعجم والصورة القرآنية. تخلص الدراسة إلى أن النص القرآني لعب دوراً هاماً في تعزيز بناء القصيدة الشعرية.

كلمات مفتاحية: مادة التناص، القرآن، الشعر، الريفيين، مفدي زكريا",1,1
يعتبر الرهن الحيازي لبراءة الاختراع من بين أنواع التصرفات الواردة عليها، وقد نظمه المشرع بموجب الأمر 03/07 المؤرخ في 19 جويلية 2003 المتعلق ببراءات الاختراع، بالإضافة إلى النصوص الواردة في القانون المدني وفي القانون التجاري. وعادة ما يلجأ صاحب البراءة إلى هذا التصرف كضمان للدين الموجود في ذمته، أو من أجل الحصول على قرض بهدف استغلال اختراعه لأن ظروفه المادية لا تسمح بذلك، ولهذا فإن الرهن الحيازي لبراءة الاختراع يعرف بأنه عقد يلتزم به صاحب البراءة ضمانا لدين عليه، مع انتقال الحيازة من المدين الراهن إلى الدائن المرتهن، كما أنه يتعدد ويتنوع بين رهن البراءة مع المحل التجاري أو رهنها بصورة مستقلة عنه. وبما أنه عقد فإنه يشترط فيه ما يشترط في سائر العقود من تراضي وأهلية ومحل ( البراءة)، وسبب بالإضافة إلى شروط أخرى، ويترتب على انعقاده جملة من الآثار تنشأ بين الأطراف المتعاقدة، كما أنه ينقضي إما بصورة أصلية أو تبعية.,0,0
هدفت هذه الدراسة إلى مقارنة مصارعي الكاراتيه في فئتي الكاتا والكميتي من حيث مستوى بعض الخصائص الأنتروبومترية والصفات البدنية. أجريت الدراسة على عينة مكونة من 20 مصارعا من أندية وادي الزناتي وقالمة وبوشقوف، مقسمة إلى مجموعتين: الأولى تتألف من 10 مصارعين في اختصاص الكاتا، والثانية تتألف من 10 مصارعين في اختصاص الكميتي، تم اختيارهم بالطريقة العمدية. اعتمد الباحث على المنهج الوصفي المقارن في هذه الدراسة. بعد تحليل النتائج، أستخلص الباحث وجود فروق ذات دلالة إحصائية بين بعض القياسات الأنتروبومترية والصفات البدنية لمصارعي الكاتا والكميتي في رياضة الكاراتيه.,1,1
تهدف هذه الدراسة إلى استكشاف المخالفات المرتبطة بالسلامة في قطاع الأغذية، مسلطة الضوء على الإجراءات المتبعة لتحقيق الامتثال للمعايير الصحية. تم تبني منهجية تعتمد على جمع البيانات من مجموعة متنوعة من المصادر، شملت تقارير الهيئات الرقابية، واستبيانات مقدمي خدمات الأغذية، وتحليل الشكاوى المستلمة من المستهلكين. استخدمت الدراسة تقنيات التحليل الإحصائي للكشف عن الأنماط السائدة للمخالفات وتصنيفها وفقًا لمدى خطورتها وتأثيرها على الصحة العامة. النتائج تشير إلى أن هناك نسبة مرتفعة من المخالفات تتعلق بغياب إجراءات السلامة الأساسية، مثل التبريد غير السليم والتلوث العرضي. تقترح الدراسة ضرورة تعزيز آليات المتابعة والمراقبة لخفض معدل هذه المخالفات، مع توجيه توصيات تتضمن تطوير استراتيجيات تدريبية فعالة للعاملين في هذا القطاع، لضمان تعزيز الوعي بالممارسات الصحية. من المتوقع أن تسهم هذه النتائج في تحسين مستويات السلامة الغذائية وتقديم إطار عمل فعال للحد من المخاطر المرتبطة بالغذاء.,1,1
تهدف دراستنا هذه إلى التعرف على ظاهرة حديثة تواجه مكاتب المراجعة في الوقت الحالي وهي ظاهرة تسوق الرأي، وما هي الأسباب الداعية إلى توجه شركات المساهمة في الجزائر إلى مثل هذه الظاهرة والتي تشكل خطر على استقلال مراجع الحسابات، حيث تستعين شركات المساهمة بآراء تؤيد لمواقفهم في حالة الخلاف بينها وبين مراجع الحسابات الذي يراجع حساباتها، وبغية تحقيق أهداف الدراسة واختبار فرضياتها قام الباحث بتصميم استبيان موجه إلى مجموعة من مكاتب المراجعة الجزائرية، حيث تم الاعتماد على مجموعة من أساليب التحليل الوصفية والإحصائية، حيث توصلت الدراسة في الأخير إلى إثبات وجود مجموعة من الأسباب التي تخص الأهداف العامة لشركات المساهمة وأيضا تخص الأداء الفعلي لمراجع الحسابات، والتي تعتبر أسباب رئيسية في توجه شركات المساهمة في الجزائر إلى ظاهرة تسوق الرأي..,0,1
تشير الأبحاث الحديثة في تعليم اللغة العربية إلى أهمية دمج النظريات اللغوية الحديثة والأساليب التربوية المبتكرة لتحقيق فعالية أكبر في اكتسابها وإتقانها. يتناول هذا البحث العلاقة التداخلية بين المعلم، المتعلم، والمعرفة كأبعاد أساسية في العملية التعليمية، ويركز بشكل خاص على دور المعلم باعتباره العنصر الأساسي في توجيه وتطوير مستوى المتعلمين. بالرغم من التحديات المتعددة التي تواجه تعليم اللغة العربية، يبقى المعلم العنصر المحوري الذي يجب أن يتبنى مفاهيم علمية حديثة مستوحاة من اللسانيات وتطبيقاتها التربوية. ينتقد البحث النظرة التقليدية لتعليم اللغة العربية التي تأخذها كفنّ بحت، داعياً إلى اعتماد مقاربات علمية ترتكز على اللسانيات والنظريات التربوية والتعلمية الحديثة. بناءً على التحليل النقدي لمناهج وأساليب تعليم اللغة العربية، يتناول البحث المعايير الأساسية التي يجب مراعاتها لتعزيز استيعاب الطلاب وفهمهم للغة، مشيراً إلى النموذج التعليمي المثالي الذي يجمع بين المعرفة اللغوية الحديثة وأساليب التدريس الفعالة. يسعى البحث إلى وضع أسس تعليمية مستدامة تهدف إلى تحسين جودة تعليم اللغة العربية، مع التركيز على ضرورة تحديث المناهج التعليمية وأساليب التدريس بما يتلاءم مع التطورات اللسانية والتربوية. من خلال هذا الإطار الفكري، يهدف البحث إلى تقديم حلول علمية وعملية لتحسين تجربة تعلم اللغة العربية وتعزيز مكانتها كلغة حية في العالم الأكاديمي.,1,1
"تهدف هذه الدراسة إلى تقديم تحليل شامل لمخطوط ""بشراك يا قلب"" للإمام عبد الكريم المغيلي الذي توفي عام 909 هـ، من خلال تناول السياق التاريخي والثقافي الذي كتبت فيه هذه الوثيقة. تعتمد الدراسة على منهجية تحليلية نقدية تهدف إلى استكشاف مضامين المخطوط وأفكاره الرئيسة بالإضافة إلى تأثيره على الفكر الإسلامي في عصره. تم استخدام مصادر أولية وثانوية، بما في ذلك النسخ المحفوظة في المكتبات والمحفوظات، لضمان دقة التحليل وجدية البحث. النتائج المتوقعة تسلط الضوء على الدور الذي لعبه المغيلي في نشر الأفكار الإصلاحية والدينية، بجانب تأثيره المحتمل على المجتمع الإسلامي في القرن الخامس عشر الميلادي، مما يعزز فهمنا لدوره كمفكر مؤثر في تلك الفترة. تعكس هذه الدراسة أهمية مراجعة النصوص التاريخية لفهم الديناميكيات الفكرية والثقافية التي شكلت التجربة الإسلامية في العصور الوسطى.",1,1
يتناول هذا البحث تنمية الاستعداد اللغوي لدى الأطفال، مستعرضًا العوامل المؤثرة والبيئة المحيطة التي تسهم في تعزيز تلك المهارات. يبدأ البحث بتوضيح أن الاستعداد اللغوي هو مهارة تتشكل نتيجة تفاعل الميول، والقدرات، والدوافع التعليمية، بالتوازي مع نمو الطفل العقلي والجسدي. يشير البحث إلى أن أي اختلال في الأعضاء الحسية كالسمع والبصر يمكن أن يؤثر سلبًا على المسار التعليمي للطفل، مما يستدعي اهتمامًا خاصًا من العائلة لمرافقة الطفل خلال مختلف مراحل نضجه. فأهمية دور الأسرة تكمن في تقديم الدعم اللازم الذي يعزز قدراته اللغوية، ويساعده على اكتساب الخبرات اللازمة من خلال تشجيع التفاعل اللفظي. ثم ينتقل البحث للتركيز على المناهج التعليمية في رياض الأطفال وكيفية مساهمتها في تنمية الاستعداد اللغوي قبل المرحلة المدرسية، من خلال الكشف عن ميول الأطفال عبر الألعاب والأنشطة المتنوعة. ويختتم البحث بإبراز أهمية الدور التعليمي داخل المدرسة في تعزيز هذه القدرات من خلال أساليب تعليم قائمة على الملاحظة والتجريب والبحث، واستخدام اختبارات ومواد دراسية مصممة لتقدير الاستعداد اللغوي، مما يساعد التلاميذ في تحقيق أهداف تربوية محددة. كما يشدد البحث على ضرورة معالجة العوامل التي قد تؤدي إلى التأخر اللغوي لضمان تحقيق التنمية المثلى للاستعداد اللغوي لدى الطفل.,1,1
"تهدف هذه الدراسة إلى تسليط الضوء على أسلوب تحليل التعادل كأداة مهمة في مجال تخطيط الأرباح وتحليل الحساسية. تم اختيار مشروع إنتاج زيت الزيتون في ولاية سوق أهراس كنموذج للدراسة. أظهرت النتائج أن المشروع يتمتع بمخاطر منخفضة ونقطة التعادل تبلغ حوالي 24% من المبيعات، مما يشير إلى إمكانية تحقيق أرباح جيدة. كما أظهرت الدراسة أن المشروع حساس نسبياً لتغيرات الأسعار وأقل حساسية لتغيرات حجم المبيعات والتكاليف الثابتة.

المفاتيح: تحليل التعادل، تحليل الحساسية، مشروع إنتاج زيت الزيتون، دراسة حالة.

التصنيف: D81, G21.",1,1
"يدرس هذا المقال الأساليب البلاغية التي ذكرها الزمخشري في كتابه ""الفائق"" خلالَ شرحه الألفاظَ الواردةَ في الأحاديث النبوية. إن هذا المقال يقيم الدلائل والبراهين على أن البلاغة النبوية كانت محل عناية من قبل العلماء المتقدمين، وإن لم يفردوا ذلك بالتأليف والتصنيف -لاعتبارات مختلفة-؛ فقد كانوا على دراية تامة بذلك، وهو ما نراه واضحا جليا في ثنايا كتبهم، كشروح الحديث، وغريب الحديث، وكتب الأدب، والبلاغة، وغيرها. يدرس هذا المقال الأساليب البلاغية التي ذكرها الزمخشري في كتابه ""الفائق"" خلالَ شرحه الألفاظَ الواردةَ في الأحاديث النبوية. إن هذا المقال يقيم الدلائل والبراهين على أن البلاغة النبوية كانت محل عناية من قبل العلماء المتقدمين، وإن لم يفردوا ذلك بالتأليف والتصنيف -لاعتبارات مختلفة-؛ فقد كانوا على دراية تامة بذلك، وهو ما نراه واضحا جليا في ثنايا كتبهم، كشروح الحديث، وغريب الحديث، وكتب الأدب، والبلاغة، وغيرها. الكلمات المفتاحية: بلاغة الحديث/ البلاغة النبوية/ الأساليب البلاغية في الحديث/ بلاغة الرسول ﷺ.",0,0
الحكومة الإلكترونية، وهي نتيجة لثورة المعلومات، ضرورية للاندماج في عالم الاتصالات الحديثة وبناء اقتصاد قائم على المعرفة. يستكشف هذا المقال الإطار النظري للحكومة الإلكترونية، بما في ذلك تعريفها، وأهميتها، وأقسامها، والعوامل المرتبطة بها. كما يدرس تجربة المملكة العربية السعودية في تنفيذ الحكومة الإلكترونية.,1,1
"تستكشف هذه الورقة البحثية السؤال: ""أين الحكمة في هذا العصر؟"" من خلال فحص العوامل المجتمعية والثقافية المختلفة التي تساهم في نقص الحكمة المت perceived. باستخدام مزيج من الأساليب النوعية والكمية، يتم تحليل البيانات من المقابلات والاستطلاعات والمقارنة مع الاتجاهات التاريخية. تشير النتائج إلى أن الحكمة لا تزال موجودة في المجتمع المعاصر، ولكنها غالبًا ما تكون مخفية أو غير معترف بها بسبب التركيز على التقدم التكنولوجي والسرعة.",1,1
